Problem: Airpods
**Candidate:** Uh,   in   the   PM   Lesson   course,   there's   a   whole   lesson   on   this   particular   question   and   gives   you   some   more   information   about   how   you   might   think   about   it   and   an   example   answer   by   me.   Um,   but   yeah,   definitely   prepare   something   for   this   question.   Um,   I   would   actually   prepare   a   few   products   for   this   question   'cause   sometimes   they   ask   curveballs   like,   "What's   your   favorite   Google   product?"   Or,   "What's   your   favorite   X   product,   you   know?"   Um,   but   yeah.   I-   I   would   say   this   is   one   of   the   most   common   questions.   Definitely   worth   rehearsing.   Um,   the   reason   I   ask   this   question   on   the-   these   interviews   is   because   it's   so   common   that   it's   always   worth   it   for   people   to   get   some   extra   practice   on   this   one.  
**Candidate:** Yeah.   And   I-   I   guess   the   other   question   I   would   ask,   um,   is   so,   you   know,   I,   um,   I   did,   you   know,   something,   like,   an   actual,   like,   tangible   product   that   I   can,   like,   hold,   right?   I   mean,   is   it   a   pretty   common   misstep   for   somebody   to   just   pick,   like,   an   application   or,   uh,   you   know,   on   their   phone   or,   you   know,   is   it   too   far-fetched   to   say,   "Hey,"   like,   "No,   my   favorite   product   is   actually,   like,   my   Yeti   tumbler,"   or   something.   Like,   do   they   really   care   what   your   favorite   product   is   or   just   something   that   you're   actually,   like,   passionate   about   that   you   love   using   every   day?  
**Candidate:** Definitely   lean   more   towards   the   latter.   Like,   you   could   say   Domino's   Pizza   is   your   favorite   product   if   you   really   want   to.  
**Candidate:** Mm-hmm.  
**Candidate:** Um,   but   I   would   say   that   as   long   as   you   pick   something   that's   rich   enough   that   you   can   have   a   deep   kind   of   interesting   conversation   about.   So,   like,   if   it's   a   mug   maybe,   like,   you're   gonna   run   out   of,   uh,   things,   insightful   things   to   say   about   the   mug   probably...  
**Candidate:** (laughs)  
**Candidate:** ...   you   know?   Um,   but   perhaps   it   could   be   a   book   even   or,   you   know,   I-   I   generally   would   stick   to,   like,   products   that   you   use   in   some   way,   like,   not   a   book   actually.   Um,   but,   you   know,   a   thermos   could   be   a   really   cool   one   if   there   was   some   kind   of   smart   thermos   or   something   interesting   about   the   thermos.  
**Candidate:** Yeah.  
**Candidate:** Uh,   but   yeah.   At   the   end   of   the   day,   you   wanna   have   something   that   you   use   that   you're   passionate   about   and   that   you   can   actually   talk   for   a   while   about   and   that   you   can   have   some   insightful   conversations   about.  
**Candidate:** Yeah.  
**Candidate:** Um,   so,   yeah,   it   doesn't   have   to   be   an   app.   Doesn't   have   to   be   a-   a   physical   product.   Could   be   anything.  
**Candidate:** Yeah,   'cause   I   would   say   if   I   wa-   you   know,   if   I   wasn't,   like,   super   prepared,   I   probably   would   just   pick,   like,   you   know,   the   app   that   I   use   the   most,   which   is,   like,   Gmail   or   something,   but   I   wouldn't   be   super   passionate   about   that.   (laughs)  
**Candidate:** Yeah,   that's   a   hard   one   'cause,   like,   Gmail   is   a   gr-   uh   ...   You-   you   would   have   to   tell   me   some   really   interesting   things   about   Gmail   'cause   I   know   Gmail   really   well,   right?   Um,   so   tell   me,   like,   you   know,   I   would   prefer   you   pick   something   that   you   use   more   than   I   do   almost,   you   know,   like   more   than   the   interviewer   does.   Like,   something   that   you   really   know   well,   um...  
**Candidate:** Yeah.  
**Candidate:** And   that   you   maybe   have   made   some   decisions   on   how,   uh,   you   would......   use   it,   too.   Like,   um,   like,   you   know   what,   competitors   are,   are   something   worth   bringing   up,   so,   so   tell   me   about,   like,   why   you   chose   this   product   over   its   competitors.   And   you'll   only   know   that   if   you've   already   used   the   product   a   lot   or   know   the   space   well.  
**Candidate:** Yeah.   And   so,   um,   I   have,   like,   one   more   question   and   then,   you   know,   we   can,   uh,   end   this   or   whatever.   But   so   what,   what   exactly,   so   you're   the   interviewer   and   you're   asking   me,   "What   is   your   favorite   product?"   Like,   w-   what   are   they   trying   to   get   most   out   of   this   question?   Like,   you   know,   like,   insights   into   me   as   the   person   interviewing   for   the   product   management   role?  
**Candidate:** The   interviewer   wants   to   hear   that   you   have...   The   interviewer   wants   to   hear   that   you   love   products,   first   of   all,   because   product   management   is   managing   products.  
**Candidate:** Right.  
**Candidate:** Um,   the,   the,   the   interviewer   wants   to   hear   that   you   have   something   insightful   to   say,   something   novel   to   say   in   this   question.   So,   like,   tell   the   interviewer   something   you   don't-   they   don't   already   know.   They   don't   wanna   just   have   a   conversation   they've   had   multiple   times.   Um,   and   the   interviewer   wants   you   to   be   thinking   critically   about   products,   so   that's   why   they   ask   the   follow-up   question,   that's   the   improve   question.   Um,   they   want-  
**Candidate:** Mm-hmm.  
**Candidate:** ...   they   wanna   hear   that   you   not   only,   like,   are   insightful,   but   you've   also   thought   critically   about   it   and   you   have   some   interesting   things   to   say   about   how   you'd   improve   it.   Um,   and   that   gets   a   little   bit   into   product   strategy,   product   vision.   But   the   point   is   that   it's   an   open-ended   question   for   you   to   show   off   that   you   just   think   about   products.  
**Candidate:** Yeah.  
**Candidate:** Um,   so   that's   why   I   say   something   that   you   can   discuss   a   lot,   that's   something   that   you   can,   um,   have   some   interesting   opinions   about,   um,   and   products   that   you   know   really   well   as   well.   Um,   they're   not   trying   to...   Th-   they   would   love   to   get   to   know   you   better   and   they'll   probably   ask   some   behavioral   questions,   but   this   isn't   quite   one   of   them.   This   is   more...   It   is   an   actual   interview   question.   They   actually   do   wanna   hear   something.   They   might   grill   you   on   some   follow-up   questions   about   it.   Um,   so   it,   so   it   is   really   testing   your   insight   and   critical   thinking   ability   about   products.  
**Candidate:** Yeah.   Cool.  
**Candidate:** Cool.   Um,   well,   Dallas,   it   was   great   chatting   with   you.   For   those   listening,   again,   this   is   PM   Lesson.   Um,   you   can   visit   PMLesson.com   for   more   great   PM   interview   prep   and   practice.   Um,   and   please   DM   us   if   you   are   interested   in   doing   one   of   these   sessions.   We're   always   interested   in   building   that   list   of   people   who   are   interested   in   doing   a   session.   Um,   thank   you,   Dallas,   for   joining   us.   Uh,   I'm   Steven   from   PM   Lesson   and   this   was   a   PM   Lesson   live   mock   interview.  
**Candidate:** All   right,   thanks.   Thanks,   Steven.  
**Candidate:** All   right,   I'm   ending   the   broadcast.
