Problem: Lyft Product Manager Interview: Driver Cancels
Problem Type: Product Design
Firm: Lyft
**Candidate:** Okay,   that   makes   sense.   Uh,   yeah,   I   don't   know,   like,   if   we're   able   to   attribute,   uh,   like,   what   marketing   campaigns   have   Uber   drivers   gotten   and   how,   like,   and   split,   like,   Lyft   drivers   by   that.   But   I'd   basically   be   curious,   like,   what   types   of   marketing   campaigns   are   sent   out.   Like,   is   there   something   that's   incentivizing   drivers   that,   like,   you   know,   spend   more   time   on   Uber   or,   like,   spend   less   time   on   Lyft   explicitly?   Like,   e-   either   one,   right?   Um,   do...   I   guess   first   question   is   like,   do   we   have   a   way   of   knowing   if,   uh,   uh,   say,   given   Lyft   drivers   seeing   a   specific   type   of,   uh,   like,   marketing,   uh,   copy   from   Uber?  
**Interviewer:** Um,   we,   we   can't   know   exactly,   like,   the   copy   itself,   but   we   can   know   if   our   drivers   are   using   both   apps   based   on   some   analytics   that   we   do   on   their   usage   and   things   like   that.   Um,   and   so   we,   we   could   also   look   into   that,   and   we   could   potentially   look   into,   um,   the   types   of,   uh,   behaviors   that   we're   seeing   from   those   drivers   and,   and   how   they   might   be   using   different   things.   But   we   do   have   some   subset   of   users   also   that   we   can   talk   to   that   are   just,   like,   a   user   research   pool   that   we   can   always   communicate   with   as   well.  
**Candidate:** Got   it.   Okay,   yeah,   so   maybe   let's   get   into   qual   in   a   sec   if   we,   if   we're   able   to   do   that   with   this   exercise,   but   just   as,   as   a   starting   point,   maybe   the   only   thing   that   we   can   really   pull   on   is,   uh,   like,   Uber,   uh,   slash,   like,   Uber   plus   Lyft   drivers   versus,   like,   just   Lyft   drivers.   Uh,   if   we   split   it   based   on,   uh,   drivers   who   are   just   on   Lyft   versus   drivers   who   are,   who   are   on   Uber   and   Lyft,   um,   is   there   a   difference   in   cancellations,   uh,   there?  
**Interviewer:** Yeah,   we're   seeing   no   cancellations   for   the   subset   that   are   just   on   Lyft.  
**Candidate:** No,   no   cancels   at   all?   Or,   or   just,   like,   no   change?  
**Interviewer:** Oh,   sorry.   No,   no   deviation   in,   in   that,   yeah.  
**Candidate:** Yeah,   yeah,   yeah.  
**Candidate:** Oh,   okay.   That's   cool   (laughs) .  
**Interviewer:** (laughs)  
**Candidate:** I'm   glad   you   saw   that.   Uh,   okay.   Well,   I   guess   in   that   case   then,   uh,   it   must   be   something   that's   specific   to   Uber.   Um,   not   to   jump,   you   know,   to   conclusions   too   quickly,   like,   maybe   the   people   who   drive   for   Uber   and   Lyft   are,   uh,   like,   predisposed   to   being,   like,   more   savvy   and   Uber's   not   even   doing   anything,   but   they're   just,   like,   picking   and   choosing   between   rides,   like,   it   could   j-   be   naturally   the   case   for   switchers.   Uh,   but   maybe   if   we   get   some   qual,   do   we   know   if,   like,   Uber's,   like,   incentivizing   them   at   all   to,   you   know,   pick   their   rides   over   Lyft,   like-  
**Interviewer:** Yeah.  
**Candidate:** ...   normal?  
**Interviewer:** So   we   talked   to   our   qual   team,   we   talked   to   some   folks   about,   who   use   both   Uber   and   Lyft,   and   we've   noticed   that   there   are   some,   mm,   campaigns   being   sent   via   notification   that   encourage   drivers   to   cancel   Lyft   rides   and   pick   up   Uber   rides   that   have   more   monetary   value.   So,   Uber   is   kind   of   providing   even   more   financial   incentive   to   have   drivers   use   their   rides   as   opposed   to   the   Lyft   rides,   and   they   seem   to   be,   um,   often   sometimes   correlated   with   a   ride   that   just   got   picked   up.   So,   Uber   seems   to   be   picking   moments   when   the   driver   has   left   the   Uber   app   and   gone   to   the   Lyft   app.  
**Candidate:** Got   it.   Okay.   Um,   I   guess   we   found   it.   It   sounds   like   that's   it.  
**Interviewer:** (laughs)   Yeah.  
**Candidate:** (laughs)  
**Interviewer:** Good.   Good   job.   (laughs)   Um-  
**Candidate:** Cool.   Yeah.  
**Interviewer:** ...   well,   I   mean,   now   that   you   found   it,   just,   like,   maybe   a   quick   follow-up   question,   and   we   don't   have   to   spend-  
**Candidate:** Yeah.  
**Interviewer:** ...   too   much   time   on   this,   but   just   imagine-  
**Candidate:** Yeah.  
**Interviewer:** ...   imagine   that   you   are   the,   like,   the   PM   for   Lyft   right   now   and,   um,   you   work   on   cancels   and   you're   noticing   this   trend   and   now   you   know   what   the   issue   is,   so   that   there's   some   kind   of   competitive   marketing   campaign   that's   causing   drivers   to   cancel   more   often.   Um,   what,   how,   maybe   very   briefly,   like,   how   would   you   think   about   that   problem   and   what   steps   would   you   take?  
**Candidate:** Yeah.   Uh,   I'll   just   make   sure   I   got   that   right.   So,   uh,   I'm   a   PM   on   Lyft.   I-   it's,   like,   cancels   related   still,   um-  
**Interviewer:** Yep.  
**Candidate:** ...   and   sorry,   you,   you're   saying,   uh,   somebody   on   my   team   is   suggesting   that   we   change   the   policy?  
**Interviewer:** Uh,   um,   it's   just   more   like   what   should,   what   should   we   do,   like,   um,   in   response   to   this,   like,   this   competitive   campaign   via   from-  
**Candidate:** Oh,   okay.   Oh,   okay.   Got   it.   Got   it.   Yeah,   so,   so   it's   not   even,   okay,   so   not   cancel   policy.   Sorry.   So   it's,   uh,   so   this   competitive   thing   is   happening,   uh,   what   should   we   do?   Um-  
**Interviewer:** It,   it   could   involve   ch-   changing   the   policy,   like,   that   could   be   a   thing   that   we   employ,   but   just   holistically,   like,   what   would   you,   what   would   you   think   about   here?  
**Candidate:** Yeah,   yeah,   for   sure.   Um,   yeah,   so,   you   know,   I   wanna   make   sure   this   is   grounded   in,   like,   the   goals   of   the   company   and   the   user.   Uh,   I   don't   know   if   we,   like,   want   to   spend,   like,   you   know,   a   whole   chunk   of   time   there,   but-  
**Interviewer:** Yeah,   just   a   brief   discussion.  
**Candidate:** ...   I'd   say,   like-  
**Interviewer:** Yeah.  
**Candidate:** Yeah,   I'd   say,   I'd   say,   like,   high   level,   uh,   since   I   got   there   is,   uh,   you   know,   it's   bad   if   we're,   uh,   canceling   rides   a   lot.   That,   uh,   makes   the   platform   less,   uh,   reliable   for,   uh,   riders.   Um,   Lyft   overall   wants   to   be,   like,   a   reliable,   uh,   transportation   option.   Like,   I   guess   it's   kind   of   like   a   high   level,   like,   goal   or   mission   for   the   company.   Um,   so   cancels   are   bad,   we   want   to   minimize   those.   Uh,   but   at   the   same   time,   we   don't   want   to,   like,   be,   uh,   you   know,   we   wanna,   we   wanna   incentivize   drivers   to   be   on   the   platform   and   make   sure   that   they,   uh,   I   think   what   they   mostly   care   about   is   getting   paid,   but   also   having   a   good   experience.   Um,   so   we   probably   want   to   make   sure   that   they're   getting   paid   commensurate   with,   like,   the   market   rate   for   driving.   Um,   right?   So   if   they're   getting   paid   more   on   Uber,   we   should   consider   maybe,   um,   paying   them   more   and,   like,   increasing   incentives   to   match.   Uh,   another   option   is,   uh,   um,   I   don't   know   if   that's,   like,   financially   affordable.   We   can,   like,   dig   into   that   in   theory,   but,   um,   that,   that   would   be,   like,   obviously   a   big,   uh,   consideration   if   we   wanted   to   start   doing   that.   Uh,   but   otherwise   we   can   incentivize   them   to,   like,   not   cancel   by   changing   the   policy.   Um,   maybe,   like-...   get   a   warning   and   then   eventually   banned   from   the   platform   if   you   cancel   too   often   or   something,   so   you   have   to   commit   if   you   are   to   accept   the   ride.   Um,   the   only   concern   there   is,   uh,   let's   say,   like,   we   extrapolate   that,   like,   and   it,   you   know,   we   do   that   and   drivers   still   want   to   cancel.   Uh,   they   might   just,   like,   stop   driving   for   Lyft   and,   like,   retention   might   get   hit   on   the   driver   side.   Um,   so   I'd   probably   run   a   couple   of   tests   maybe,   um,   try   a   couple   A/B   tests   that,   uh,   either,   like,   uh,   match,   uh,   incentives   with   Uber,   like,   we   can,   you   know,   probably   figure   it   out,   like,   on   the   ops   side,   like,   uh,   what   they're   charging   and,   like,   kind   of   match.   Um,   and   we   can   try   this,   like,   separate   experiment   where   we,   uh,   maybe,   like,   threaten,   uh,   or,   you   know,   threaten's   kind   of   a   strong   word,   but,   uh,   warn   the   driver,   uh,   you   know,   if   they   commit   to   a   ride   and   then   they   cancel   it   after,   you   know,   already   committing   to   doing   the   ride,   um,   that   it   might,   uh,   compromise   their,   uh,   ability   to   be   on   the   platform.   Um,   and   just,   like,   see   how   that   affects,   uh,   like,   immediate,   um,   f-   you   know,   fulfillment   rate   of,   uh,   requested   rides.   Uh,   but   also,   like,   the   longer   term   driver   retention   side.  
**Interviewer:** Got   it.   Awesome.   Um,   well,   I,   I   know   we're   a   little   short   on   time,   so   I   wanna   wrap   up   there   and,   and   get   to   feedback.   But   overall,   um,   awesome   answer,   Hadar,   as   always.   Um,   would   love   to   hear   from   you,   a   little   bit   of   self-reflection   about   how   that   went   for   you,   and   then   I   can   jump   into   some   of   my   notes,   and   then   we   can   wrap.  
**Candidate:** Yeah,   for   sure.   Um,   yeah.   I   think,   um...   you   know,   it's,   this   is   one   of   those   questions   where   I   feel   like   there's   always,   like,   unknown   unknowns,   where,   like,   maybe   there's   another   category   that   I   could   have   split   it   by   that   I   didn't   think   of.   Um,   like,   I   don't   know.   Like,   yeah,   just   some   o-   some   other   way   to   cut   it   that,   like,   didn't   come   to   mind.   So,   so   maybe   I   missed   something   there.   Uh,   nothing   comes   to   mind   right   now,   but   I,   you   know,   that   totally   could   be   the   case.   Uh,   I   think   with,   uh,   the   experiment,   uh,   stuff,   that,   that   was,   like,   and   we,   you   know,   resolved   it   together,   like,   in   line.   But,   um,   it   would've   been   easy   to   just   check   the   variance   versus   the   control,   so   that   was   definitely   a   miss   on   my   side   to   not,   you   know,   proactively   mention   that.   Um,   I   think   the   only   other   thing   is,   uh,   well,   I   think   the,   well,   my   interpretation   of   the   point   of   this   exercise,   uh,   is   to   see   how   someone,   like,   analytically   breaks   down,   like,   possible   root   causes   and   it's   more,   like,   an   execution   thing   versus,   like,   a   product   sense   thing.   Um,   but,   like,   it's   always,   it's   always   helpful   to   ground   why   we're   saying   what   we're   saying   in,   uh,   like,   the   user   value   or,   like,   the   user   perspective.   Um,   which   I   was   trying   to   do   at   least   with,   like,   the,   you   know,   funnel,   for   example,   or   talking   about,   like,   what   might   incentivize   drivers   to   cancel,   uh...   but   I'm,   I'm   sure   I   could   have   done   more   of   that   in   certain   points.  
**Interviewer:** Totally.   Yeah,   um,   um,   great   points   and   I,   I   thought   you   did   a   really   great   job   of   breaking   it   down   and,   yeah,   like,   for,   for   those   watching,   like,   this   type   of   interview   question   is   a   very   different   type   than   a   lot   of   interview   questions.   It's   an   execution   style   one   where   there's   a   lot   of   back   and   forth   with   the   interviewer,   and   it   can   be   very   fun,   but   it   can   also   be   very   infuriating   if   you   keep   hearing   no   and,   like,   keep   wanting   to   know   how   to   answer   the   question   correctly.   And   so,   I   think   you   did   a   good   job,   Hadar,   also,   just   keeping   up   faith,   you   know,   that   you'll   get   to   it   eventually,   even   though   I   was   saying   no   to   a   lot   of   the   directions   you   were   going   in.   Um-  
**Candidate:** Totally.  
**Interviewer:** Because   the   point   of   this   interview   question   isn't   getting   to   the   right   answer,   but   it's   showing   that   you   can   think   through   the   process   and   it's   showing   that   you   can   think   through   each   piece   holistically.   Um,   so   a   couple   points   that   I,   I   thought   were   really   great   were,   um,   even   though   you   were   shooting   in   the   dark   here,   doing   options,   I   always   knew   your   high   level   meta   goal.   Like,   I   could   hear   your   thought   process   throughout   the   process.   So   one   thing   that   I   see   that's   n-   not   so   great   with   some   of   these   interview   questions   is   then   people   just   kind   of   be   like,   "Oh,   was   it   in,   like,   this   country?"   Like,   "Was   it,   um,   with   this   user?"   And   I   don't   hear   sort   of   the   high   level   thought   process.   Whereas   with   you   I   had   that   top   meta   part   where   it   was   like,   "Okay,   I'm   gonna   go   into   this   section   first   and   then,   okay,   it   might   be   promising,   but   let   me   go   over   here   first   and   then   I   can   come   back   to   that   if   I   need   to."   Some   of   that,   like,   thought   process   was   really,   really   helpful   and   it   was   a   great   map   of   where   you   were   going.   Um,   I   thought   also,   um,   we   had   some,   you   know,   fun   discussions   around,   like,   different   little   paths   we   went   down,   like   the   holidays   thing   was   kind   of   interesting,   I   think.  
**Candidate:** Right.  
**Interviewer:** Yeah,   the,   the   other   piece   for   that   I   would   just   say   is   that,   you   know,   in   an   interview,   just   being   precise   is   helpful.   So,   like,   um,   sometimes   I've   had   these   questions   where   the   interviewer   just   says   like,   "Oh,"   like,   "I   don't   know   what   a   holiday   is."   Like,   "I'm   just   a   d-"   Like,   "Tell   me   what   I   should   do."   And   then   you   have   to   almost   code   it   for   them.   Like,   okay-  
**Candidate:** Yeah,   yeah.  
**Interviewer:** ...   I   go   look   up   a   corpus   and,   like,   go   find   the   holiday   thing   and   then   do   that.   So,   um-  
**Candidate:** Sure,   yeah.  
**Interviewer:** ...   I   think   that's,   that's   one   point.   And   then,   yeah,   like,   comprehensive,   I   thought   it   was   very   comprehensive.   You   went   through   almost   every   option.   Um,   and   then   when   we   got   to   the   end,   I   think   you   did   a   great   job   of   kind   of   being   like,   "Aha!"   Like,   "We   got   something,   let's,"   like,   "Let's   use   this,   let's   jump   into   it   and   then   go   there."   And   then   you,   you   did   a   great   job   summarizing   and   then   even   the   follow-up   question,   I   loved   ho-   how   you   brought   it   back   to   the   goals,   which   is   always   really   helpful.   Um,   so   yeah.   Great,   great   answer.   Any,   any   reactions   to   anything   I   just   said,   or   comments?  
**Candidate:** Uh,   yeah,   no,   I   think,   I   think   all   that   makes   sense.   Um,   yeah,   I   think   the,   the,   like,   precision   and,   uh,   explicitness   of,   uh,   like,   what   I'm   asking   is,   is   definitely   an   important   thing.   Uh,   the   holidays   are   a   good   example   of   that.   Um,   yeah,   I   think   just,   like,   stepping   out   of,   like,   being   the   interviewee,   uh,   'cause   I've   r-   I've   read   this   interview   myself   when   I   was   working   with   Lyft-  
**Interviewer:** Totally,   yeah.  
**Candidate:** ...   a   lot.   I   think,   like,   two   quick   thoughts,   uh,   that   I   would   even   add   to   this   is,   uh,   and   this   is   more,   maybe   more   of,   like,   what   the,   like,   what's   going   on   in   the   interviewer's   head,   like,   while   you're   interviewing,   is,   uh,   like,   definitely   don't   get   frustrated.   I,   I,   for   example,   when   I   ask   this   question,   I'll   have   a   root   cause   and   if   the,   uh,   candidate,   like,   gets   to   it   quickly,   actually   just   change   the   root   cause.   (laughs)  
**Interviewer:** (laughs)  
**Candidate:** It's   like   a   little,   like,   a   secret   for,   you   know,   anyone   watching,   but,   um,   the   point   is   not   to   get   to   the   answer,   right?   The,   the,   like,   if   you're   getting   a   bunch   of   nos,   it's   actually   probably   a   good   sign.  
**Interviewer:** Right.  
**Candidate:** So   long   as   you're,   like,   structurally,   uh,   you   know,   going   through   everything.   Um,   so   that,   that   was   one   thing.   I   had   another   thought   that   I   may   have   forgotten.   Um,   yeah.   That's   it.   (laughs)  
**Interviewer:** (laughs)   Okay,   well,   um,   we   can   always,   uh,   follow   up   after   if   you   think   of   it   afterwards.   Um,   but,   uh,   thank   you   again   so   much,   Hadar,   for   being   on   the   show.   This   was   super   valuable,   you   did   a   great   job   interviewing,   um,   and   I   think,   uh,   folks   learned   a   lot   about   execution   style   questions   and,   uh,   being   a   Lyft   product   manager.   If   people   have   any   other   ideas   or   thoughts   or   edge   cases   that   they   can   think   of   that,   um,   they   would've   asked   in   this   question,   do   comment   below.   We   love   to   see   comments   and   your   thoughts   on   it.   Um,   but   otherwise,   good   luck   on   your   upcoming   interview   and   thank   you,   Hadar,   for   being   on   the   show.  
**Candidate:** Yeah,  
**Interviewer:** Thanks.   All   right.
