Problem: Meta/Facebook Product Manager Mock Interview: Meta/Facebook Movies
Problem Type: Product Design
Firm: Meta
**Candidate:** ...   that   same   feature   set   and   m-   maybe   long   term,   we   would   want   to   put   some   more   professional,   additional   advanced   features   on   there.   But   I   think,   again,   thinking   about   the,   the   wheelhouse   of   Facebook   is,   is   really   for   the   everyday   cil-   civilian.   It's   not   necessarily   a,   an   artistic   product,   though   we   do   have   creator   content   on   there,   so   I   would   want   to   design   for,   for   the   everyday   person.  
**Interviewer:** Awesome.   Yeah.   Um,   (coughs)   okay,   cool.   Well,   (clears throat)   we   can   take   a   deep   breath   and,   and,   you   know,   the   interview   is,   is   done.   (laughs)   Um,   great   job,   Selena.   That   was   really   great.   (clears throat)   Why   don't   you...   Would   love   to   hear   your   thoughts   on   kind   of,   like,   how   that   went   for   you   and,   um,   yeah,   any   self   feedback   that   you   have   before   I   jump   into   some   of   the   feedback   that   I   wrote   about   what   made   this   interview   so   great.  
**Candidate:** Yeah.   Overall,   I   think   it   went   really   well.   I   liked   the   idea.   Um,   I   feel   like   it,   it   grew   as   we   were   talking   about   it,   which   is   always   kind   of   fun.   I   think   in   interviews   in   general,   if   you   feel   like   that's   how   the   rapport   is   going   between   you   and   the   interviewer,   you're   on   a   good   track.   Um,   I   think   the   one   area   where   I   maybe   could   have   slowed   down   a   little   was   around   proposing   the   MVP.   I   think   I   could   have,   like,   actually   taken   some   time   to   draw   out   the   flow.   Um,   I   don't   think   I   missed   anything   major,   but   in   general,   I   think   that's   a   point   to,   to   pause   and   at   least   think   about,   okay,   like,   what,   what   is   the   user   journey?   What   is   each   step   that's   important   to   take?   And   then   I   can   pick   one   to   add   more   color   to,   to   talk   through   in   more   detail.  
**Interviewer:** Definitely.   And,   and   also,   we're,   we   try   to   keep   these   videos   a   little   short,   so   I   did   push   you   along   a   little   bit.   But   yeah,   normally   in   an   interview,   we   might   have   just   ratholed   on   that   for   t-   ten   minutes,   and   you   might   have   drawn   things   on   the   whiteboard,   things   like   that.  
**Candidate:** Mm-hmm.   Virtual   whiteboard.   (laughs)  
**Interviewer:** Yeah.   (laughs)   Um,   let   me   just   jump   into   some   of   the   things   that   I   thought   you   did   really   well,   um,   and   just   overall   thoughts   about   the   interview.   So   first   of   all,   I   think   you   had,   you   started   off   really   strong   with   really   great   questions   and   great   follow-up   questions,   like,   uh,   asking   about   Portal   and   how   this   question   fit   into   the   Facebook   ecosystem,   which   also   demonstrated   your   knowledge   of   Facebook   generally   and   that   ecosystem,   which   is   really   effective   for   an   interview.   Um,   you   did   a   great   job   outlining   the   map   of   the   interview,   and   then   you   stuck   to   it   mostly   throughout   the   interview.   So   here's   where   I'm   gonna   go,   and   then   every   point   you   went   there,   you're   like,   "I'm   gonna   write   some   notes   about   this.   I'm   gonna   write   some   notes   about   this."   Um,   I   thought   that   the...   You,   you   even   asked   some,   like,   deep   questions,   which   is   always   kind   of   cool,   especially   in   higher   level,   uh,   more   senior   Facebook   or,   you   know,   PM   interviews   broadly.   Um,   like   what   is   a   movie?   Like,   what   does   that   even   mean?   Like,   what,   what,   what   is   the   scope   of   this   question?   And   you   sort   of   pushed   on   the   edge   of   that,   which   I   thought   was   interesting   from   a   philosophical   perspective.   Um,   and   then   y-   the   other   piece   I   really   liked   is   you   always   stayed   grounded   in   the   mission   and   the   goals   and   the,   uh,   competitive   advantage   of   Facebook.   So,   um,   why   are   we   doing   this?   Like,   even   at   the   very   end,   the   last   question   I   just   asked   you,   and   we're   doing   this   because   Facebook   is   for   the   everyday   people.   It's   more   of   a   social   ecosystem.   It's   not   really   an   artistic,   uh,   platform   right   now,   and,   and   maybe   it   could   be   at   one   point,   but,   um,   it's   more   about,   uh,   kind   of   like   everyday   usage   and   things   like   that.   Um,   I   thought   that   you...   Yeah,   so,   you   know,   asking   questions   with   proposing   things   is   also   really   effective.   So   there   was   one   point   where   you   said   something   like,   you   know,   "I   could   go   in   these   different   directions,   but   I'm   gonna   pick   this   one.   What   do   you   think?"   And   I   thought   it   was   really   effective   'cause   it   showed   that   you   had   the   leadership,   but   also   the   ability   to   check   in   with   me   as   an   interviewer.   Um,   I   thought   that,   you   know,   you   did   a   great   job   brainstorming   a   lot   of   fun   ideas,   and   we   sort   of   latched   onto   the   most   moonshotty   idea.   And   I   love   that   you   weren't   afraid   to   go   there.   Um,   in   an   actual   interview,   like,   that's   totally   fine   to   go   to   these   moonshot   ideas,   and   it's   definitely   less   scoped   out   than   some   of   the   other   ones,   like   a   creative   group.   But   it   also   allowed   you   to   talk   a   little   bit   more   creatively   and   brainstorm   and   kind   of   jive   with   the   interviewer.   Um,   and   we   did   a   little   bit   of   that,   and   obviously   if   this   interview   had   been   longer,   we   might   have   even   talked   about   it   more   and   kind   of   came   up   with   ideas   or   thoughts   around   it.   Um,   and   so   just   showing   that   creative   muscle,   which   is   so   essential   to   a   product   design   interview,   a   successful   product   design   interview   question,   um,   was,   was   really   effective   here.   Um,   I   thought   also   you   just   had   a   thoughtful   discussion   around   metrics   towards   the   end   too.   It   was   clear   that   not   only   could   you   brainstorm,   but   you   could   also   bring   in   those   metrics.   Um,   just   a   couple   points   on   things   that   I   thought   you   could   do,   uh,   like   differently   or   maybe   I   wasn't   sure   about.   Um,   again,   I   thought   this   interview   was   short.   So   yeah,   I,   I   wasn't   as   totally   clear   on   the   MVP.   I   was   like,   "Okay,   so   what   exactly   does   this   look   like?   What   exactly   would   this   experience   be?"   And   we   sort   of   scoped   it   out   even   a   little   bit   later   in   the   interview.   Um,   and   then   I   think,   yeah,   just,   you   know,   I,   I   asked   a   question   about   YouTube,   but   you   can   always   bring   that   forward   in   an   interview   if   you   have   the   time.  
**Candidate:** Mm-hmm.  
**Interviewer:** Just   say,   "Hey,   like,   I   know   this   might   start   sound   to   be   a   little   bit   like   YouTube.   I'd   love   to   discuss   the   competitive   differentiation   there   before,   um,   the   interviewer   actually   asks   about   that."   Just   so   that   it   shows   that   you're   thoughtful   about   it.  
**Candidate:** Mm-hmm.  
**Interviewer:** Um,   but   not   a   huge   faux   pas   in   an   interview.   Um,   other   than   that,   I   thought   you   did   a   really   effective   job,   um,   and   you   went...   Really   thoughtful   discussion.   And,   um,   it   was   just   cool   to   see   the   whole   product   design   thought   process,   um,   you   know,   from   the   beginning   through   the   end   of   that   product   design.   And,   and   obviously   we   could   have   further   product   meetings   and   discussions   to   scope   out   what   that   actual   product   would   look   like.  
**Candidate:** Yeah.   We're   gonna   roll   this   out   now,   right?  
**Interviewer:** (laughs)   Yeah,   exactly.   Yeah.   (laughs)  
**Candidate:** Awesome.   Thank   you   so   much.  
**Interviewer:** Um,   yeah.   Any   thoughts   or   reactions   to,   to   anything   I   just   said   or   anything   like   that?  
**Candidate:** Um,   I   think   all   really   great   points.   Um,   totally   agree.   Like,   I   think   we   are   aligned.   It's   like   I   rushed   through   the   MVP   a   little   bit.   So   I   think,   again,   taking   a,   a   minute   there   and   just   thinking,   like,   "What,   what   screens   are   essential?   What,   what   should   I   do   absolutely   first?   Like,   what   is   that   pared   down?"   Um,   yeah.   And   then   always,   like,   think   about,   especially   on   the   com-   competitive   differentiation,   like   if   there's   a   little   voice   in   your   head   saying   like,   "Oh,   this   sounds   a   little   bit   like   this   product."   Like   I-   that   should   be   led   by   you,   not   by   the   interviewer.   So   totally   agree.  
**Interviewer:** Totally.   Um,   but   Selena,   thank   you   so   much   for   being   on   the   show.   This   was   super   valuable,   super   helpful.   Obviously,   you're   an   experienced   PM   interviewer   and,   um,   yeah.   It's,   it's   just   been   great   to   hear   your   perspective   on   this.  
**Candidate:** Yeah.   It   was   super   fun.   Nice   to   see   you   also,   even   if   he   had   Zoom.  
**Interviewer:** (laughs)   All   right.   Thanks,   Selena,   and   good   luck   to   everyone   watching   with   your   interview.  
**Candidate:** Good   luck.   (instrumental music plays)
