Problem: grow Airbnb experiences
Problem Type: Strategy
Firm: Airbnb
**Candidate:** ...   to   know   if   this   is   something   that   actually   interests   people.   And   then,   of   the   people   who   are   clicking   the   tab   to   discover   it,   how   many   of   those   people   are   then   going   to   some   level   of   engaged   'cause   you   sense...   you   said   that   once   we   get   them   to   be   engaged   with   experiences,   we   have,   like,   a   pretty   good   checkout   rate.   So   I'd   wanna   know   how   many   people   are   using   the   app.   Of   those   people,   how   many   people   get   put   into   this,   um,   experience   where   they're   viewing   the   tab?   How   many   of   those   people   are   dismissing   the   nudge   versus   engaging   with   it?   And   then,   how   many   people   who   engage   with   it   actually   continue   on   to   then   become   Airbnb   experience   customers?  
**Interviewer:** Okay.  
**Candidate:** And   something   that   I'll   also   kind   of   want   to   look   at,   which   is,   like,   farther   down   the   funnel   is   seeing   if   there's   any   effect...   I,   I   don't   know   if   this   is   too   far   of   a   metric   to   check   but,   like,   if   there's   any   effect   on   that   promoter   score.   'Cause   something   that   I've   learned   as   a   growth   product   manager   is   sometimes   you   can   drive   a   lot   of   growth,   but   if   it's   not,   like,   the   right   target   of   user   or   the   quality   of   users-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   or   that   it   presents   an   opportunity   that   really   solves   the   user   problem   for   the   person   you're   presenting   it   to,   then   the   quality   of   their   experience   actually   goes   down   because   you're   pushing   growth   without   thinking   about   it   in   a   targeted   way.   So   I'd   also   wanna   make   sure   that   net   promoter   score   doesn't   drop   significantly   while   driving   growth.  
**Interviewer:** Got   it.   So   you   would   be   worried   about,   like,   "Hey,   like,   we're   being   a   little   aggressive   by,   like,   featuring   this   tab   and   nudging   people   to   check   out   experiences,   and   we   need   to   make   sure   that   it's   not   so   sort   of   aggressive   that   we   ruin   the   overall   experience,   um,   hurt   the   experience   of   sort   of   coming   to   Airbnb   to   find   either   lodging   or   experiences."  
**Candidate:** Exactly.  
**Interviewer:** Got   it,   okay.   Um-  
**Candidate:** And   then...   Oh,   sorry   (laughs) .  
**Interviewer:** That's   okay.  
**Candidate:** I   also   wanna   make   the   assumption...   Well,   not   the   assumption.   I   wanna,   also   wanna   analyze   the   data   to   make   sure   that   we're   not   hurting   Airbnb   lodging   metrics   as   well.  
**Interviewer:** Oh,   okay.  
**Candidate:** Because   if   you   think   about   Airbnb   lodgings,   because   they're   both   based   in   the   same   app,   so   they   could   have   an   effect   on   each   other.  
**Interviewer:** Yeah.  
**Candidate:** So   as   a   guardrail,   I   would   want   to   make   sure   that   I'm   not   hurting   that.   E-   especially   given   that   I'm   assuming   that   the   profit   margins   for   lodging   is   much   larger   than,   like,   a   $30   experience.   Like,   a   $300   or   (laughs)   $700   booking   is   much   larger.   So   I   would   even,   eh,   I   would   say   any...   some...   any   significant   damage   to   that   would   become   higher   priority   than   growth   that   we   drive   towards   the   experiences   based   off   of   revenue,   um,   because   at   the   end   of   the   day,   we're   a   company   (laughs)   and   we   have   to   make   money   so...   (laughs) .  
**Interviewer:** Fair   enough.   Um,   okay.   Um,   great.   So   it   sounds   like   you   would,   would   focus   on   the   tab.   Um,   there's   a   few   metrics   that   you're   gonna   look   at   to   sort   of   see,   um,   ultimately,   like,   you   know,   I   think   it   was,   like,   how   many   people,   like,   click   in   versus   dismiss   that   tab.   Um,   and   then   you   wanna   look   at   some   metrics   to   make   sure   there's   not   sort   of   cannibalization   of,   of   the   lodging   business   as   well   as   just   looking   at   overall   sort   of   MPS   to   make   sure   people   are   still   having   a   good,   good   experience   on   the   website   and   app.   Um,   let   me   ask   you   one   last   question   on   the,   on   the   success   metric.   So   if,   if,   let's   say,   we   wave   our   magic   wand,   you   get   the   data   like,   "Hey,   you've,   um...   We   know   that   MPS   isn't   going   down."  
**Candidate:** Mm-hmm.  
**Interviewer:** "We   know   that   the   lodging   business   is   not   being   capitalized."   So,   like,   those...   We   can   take   those   risks   or   concerns   sort   of   off   the   table.  
**Candidate:** Mm-hmm.  
**Interviewer:** Um,   and   you're   sort   of   left   with,   "Okay,   like,   the   bad   things   that   I'm   sort   of...   Like,   the   side   effects   are   not   happening,   so   that's   good."  
**Candidate:** Mm-hmm.  
**Interviewer:** Uh,   what...   Like,   if   you   had   to   prioritize   and   say,   like,   one   metric   that   you   would   look   at   to,   like,   "Okay,   like,   is   the   work   I'm   doing   really   driving   the   growth   we   are   hoping   for?"   Um,   what   would   you...   What   would   you...   A   single   one   you'd   wanna   use   to,   like,   give   yourself   just,   like,   a   high   level,   like,   gut   check?   "Yeah,   yeah,   this   is   working.   This   is,   this   is   actually   driving   growth   for   experiences."  
**Candidate:** Yeah,   I   would   say   that...   Nor   surprise,   this   would   probably   be   completed   experiences,   because   we   had   said   before   that   once   people   are   engaged,   they're   pretty   good   at   getting   to   checkout.   So   if   that   remains   the   same,   then   that   means   by   growing   the   top   of   funnel,   then   we   should   have   grown   completed   experiences,   and   if   not,   then   there's   something   we're   missing   along   the   way.  
**Interviewer:** Mm-hmm.   Okay,   so   you   just   track   absolute   number   of   completed   experiences   and   if,   if   the   tab   is   working,   that   number   should   be   going   up.  
**Candidate:** I   mean,   kind   of   when   you   put   it   that   way,   it   kind   of   almost   makes   me   second   guess   myself.   I,   I   guess   one   clarifying   question.   There's   the   only   way   to   book   the   completed   experience...   to   book   an   experience   is   through   the   app.   There's...   I   guess   we   had   never   really   talked   about   the   distinction   meant   between   the   app   and   the   website.   So   in   that   case,   I'd   focus   on   adding   a   tab   to   the   app.   So   in   this   case,   I'd   want   completed   experiences   booked   through   the   app   to   go   up   because   that's   where   we   introduced   this.  
**Interviewer:** Oh,   okay.   That,   that's   a   fair   distinction.   I   was   actually   thinking   when   you   said   app,   I   was   just   thinking   inclusively,   like   the   web   app   and   the   mobile   app.   We   didn't   really   get   into   the   design   of   it   too   much,   but   that's,   that's   fine.  
**Candidate:** Okay.  
**Interviewer:** Um,   okay,   so   that   makes   sense.   Tracking   number   of   completed   sessions   going   up   and...   That   would   go   up   as   long   as,   like,   your   funnel,   uh,   holds,   holds   steady.  
**Candidate:** Exactly.  
**Interviewer:** Okay,   awesome.   Well,   thank   you   for,   uh,   running,   running   me   through   that.
